Date,Mention_Count,Mention_Rank,Sentiment_Score,Close,Volume
2021-02-17,19.0,72.0,0.27526,14.866899490356444,274756000.0
2021-02-18,18.0,68.0,0.00551,14.790099143981934,233868000.0
2021-02-19,52.0,32.0,0.30784,14.887346267700195,271724000.0
2021-02-20,11.0,38.0,0.19511,,
2021-02-21,29.0,20.0,0.09432,,
2021-02-22,49.0,34.0,0.00276,14.31809139251709,325884000.0
2021-02-23,48.0,38.0,0.03779,14.104902267456056,391780000.0
2021-02-24,119.0,16.0,-0.05974,14.46096420288086,448320000.0
2021-02-25,91.0,20.0,0.11361,13.272590637207031,824436000.0
2021-02-26,40.0,34.0,-0.02272,13.6785249710083,500932000.0
2021-02-27,29.0,14.0,0.18127,,
2021-02-28,30.0,18.0,0.12205,,
2021-03-01,80.0,20.0,-0.02831,13.805438041687012,353184000.0
2021-03-02,33.0,44.0,-0.11887,13.371082305908203,264116000.0
2021-03-03,94.0,22.0,0.05648,12.771158218383787,377592000.0
2021-03-04,91.0,19.0,-0.04802,12.337798118591309,573344000.0
2021-03-05,53.0,25.0,0.1094,12.42880916595459,542840000.0
2021-03-06,11.0,36.0,0.17303,,
2021-03-07,35.0,18.0,0.35157,,
2021-03-08,111.0,17.0,-0.05178,11.562838554382324,543112000.0
2021-03-09,61.0,21.0,0.14495,12.491716384887695,521824000.0
2021-03-10,20.0,47.0,0.08271,12.439834594726562,384376000.0
2021-03-11,24.0,48.0,0.27787,12.963889122009276,299916000.0
2021-03-12,17.0,58.0,0.11961,12.826700210571287,243964000.0
2021-03-13,12.0,28.0,0.23365,,
2021-03-14,2.0,135.0,0.22595,,
2021-03-15,24.0,43.0,0.18317,13.16118621826172,221988000.0
2021-03-16,33.0,34.0,0.14396,13.26095962524414,272128000.0
2021-03-17,11.0,83.0,0.25798,13.310845375061035,243864000.0
2021-03-18,5.0,156.0,-0.20058,12.693506240844728,293896000.0
2021-03-19,17.0,43.0,-0.10797,12.816473960876465,299208000.0
2021-03-20,6.0,39.0,0.08212,,
2021-03-21,6.0,61.0,0.351,,
2021-03-22,20.0,43.0,-0.00574,13.156197547912598,297804000.0
2021-03-23,22.0,44.0,0.0024,13.040961265563965,222048000.0
2021-03-24,18.0,60.0,0.12458,12.614185333251951,245840000.0
2021-03-25,20.0,46.0,-0.04886,12.506683349609377,295144000.0
2021-03-26,17.0,53.0,-0.06283,12.809988975524902,363968000.0
2021-03-27,0.0,0.0,0.0,,
2021-03-28,4.0,84.0,0.168,,
2021-03-29,7.0,112.0,0.1722,12.918740272521973,273520000.0
2021-03-30,6.0,130.0,0.07018,12.842413902282717,200204000.0
2021-03-31,14.0,65.0,0.27604,13.317829132080078,314776000.0
2021-04-01,15.0,48.0,0.37265,13.780272483825684,308276000.0
2021-04-02,1.0,134.0,0.6326,,
2021-04-03,2.0,66.0,-0.3996,,
2021-04-04,1.0,167.0,-0.9383,,
2021-04-05,16.0,57.0,0.16139,13.955621719360352,255672000.0
2021-04-06,15.0,57.0,-0.07546,13.82990837097168,191744000.0
2021-04-07,28.0,40.0,0.00047,14.111265182495115,251284000.0
2021-04-08,21.0,45.0,0.08358,14.28437042236328,244416000.0
2021-04-09,8.0,69.0,0.13739,14.367180824279783,195172000.0
2021-04-10,2.0,78.0,0.31245,,
2021-04-11,3.0,73.0,-0.20077,,
2021-04-12,278.0,6.0,0.01393,15.174338340759276,869324000.0
2021-04-13,103.0,12.0,0.11266,15.64376449584961,676212000.0
2021-04-14,28.0,33.0,0.09197,15.242183685302734,385500000.0
2021-04-15,125.0,13.0,0.11178,16.100479125976562,598480000.0
2021-04-16,15.0,45.0,0.09507,15.876235961914062,335208000.0
2021-04-17,4.0,52.0,0.05108,,
2021-04-18,7.0,45.0,-0.08637,,
2021-04-19,40.0,20.0,0.15417,15.326739311218262,404420000.0
2021-04-20,17.0,40.0,0.04019,15.136672973632812,334132000.0
2021-04-21,11.0,60.0,0.12038,15.325494766235352,216776000.0
2021-04-22,18.0,42.0,0.07579,14.81640625,277788000.0
2021-04-23,17.0,37.0,0.04875,15.230461120605469,227500000.0
2021-04-24,5.0,44.0,0.35762,,
2021-04-25,1.0,156.0,0.0018,,
2021-04-26,8.0,86.0,-0.01724,15.44272518157959,197796000.0
2021-04-27,14.0,67.0,0.09014,15.346693992614746,164572000.0
2021-04-28,15.0,57.0,0.12137,15.24193286895752,209416000.0
2021-04-29,15.0,54.0,0.05955,15.289822578430176,173196000.0
2021-04-30,10.0,56.0,-0.30289,14.97529125213623,201912000.0
2021-05-01,3.0,60.0,0.29357,,
2021-05-02,4.0,67.0,0.19323,,
2021-05-03,19.0,46.0,-0.21662,14.802935600280762,203912000.0
2021-05-04,39.0,29.0,0.04066,14.31854248046875,405324000.0
2021-05-05,30.0,47.0,0.19193,14.42554759979248,292024000.0
2021-05-06,25.0,61.0,-0.03869,14.489900588989258,193380000.0
2021-05-07,17.0,56.0,0.15077,14.778491020202637,229328000.0
2021-05-08,0.0,0.0,0.0,,
2021-05-09,3.0,96.0,-0.01567,,
2021-05-10,13.0,88.0,-0.03421,14.233238220214844,268904000.0
2021-05-11,15.0,77.0,0.15772,14.27364444732666,285584000.0
2021-05-12,10.0,91.0,0.05841,13.727142333984377,303408000.0
2021-05-13,15.0,62.0,-0.12741,13.634105682373049,285404000.0
2021-05-14,5.0,104.0,0.0138,14.21053981781006,258616000.0
2021-05-15,2.0,70.0,0.0,,
2021-05-16,11.0,26.0,0.25805,,
2021-05-17,6.0,103.0,0.08798,14.133214950561523,216980000.0
2021-05-18,17.0,41.0,0.15209,13.983805656433104,186256000.0
2021-05-19,15.0,47.0,0.20811,14.03369426727295,344000000.0
2021-05-20,29.0,28.0,0.0852,14.579198837280272,321592000.0
2021-05-21,128.0,7.0,0.03571,14.9575834274292,672992000.0
2021-05-22,16.0,9.0,0.20523,,
2021-05-23,46.0,7.0,0.09202,,
2021-05-24,105.0,9.0,0.17187,15.576419830322266,554816000.0
2021-05-25,89.0,9.0,0.09389,15.612086296081545,435408000.0
2021-05-26,157.0,10.0,0.01077,15.664220809936523,370440000.0
2021-05-27,46.0,24.0,-0.04143,15.452703475952148,581476000.0
2021-05-28,72.0,20.0,0.08516,16.207477569580078,644536000.0
2021-05-29,12.0,15.0,0.34937,,
2021-05-30,3.0,33.0,0.16743,,
2021-05-31,11.0,21.0,0.27174,,
2021-06-01,45.0,21.0,0.08745,16.227428436279297,472804000.0
2021-06-02,48.0,29.0,0.11937,16.740013122558594,594168000.0
2021-06-03,75.0,20.0,0.14311,16.931074142456055,580008000.0
2021-06-04,107.0,17.0,0.12862,17.538188934326172,617120000.0
2021-06-05,18.0,16.0,0.14858,,
2021-06-06,27.0,17.0,0.2411,,
2021-06-07,50.0,26.0,0.11145,17.578842163085938,575756000.0
2021-06-08,14.0,90.0,0.06203,17.41721534729004,323848000.0
2021-06-09,49.0,38.0,0.2143,17.322660446166992,381656000.0
2021-06-10,16.0,67.0,0.05278,17.389272689819336,287772000.0
2021-06-11,60.0,25.0,0.17448,17.7887020111084,416308000.0
2021-06-12,6.0,40.0,-0.0145,,
2021-06-13,38.0,17.0,0.14541,,
2021-06-14,44.0,34.0,0.08997,17.981801986694336,321376000.0
2021-06-15,26.0,44.0,0.18403,17.752023696899414,243032000.0
2021-06-16,29.0,44.0,0.15877,17.77372932434082,307124000.0
2021-06-17,234.0,12.0,0.0696,18.61899757385254,809656000.0
2021-06-18,282.0,6.0,0.0728,18.600536346435547,968856000.0
2021-06-19,23.0,9.0,0.239,,
2021-06-20,66.0,8.0,0.08765,,
2021-06-21,135.0,11.0,0.03566,18.38946533203125,672384000.0
2021-06-22,65.0,23.0,0.13404,18.8480224609375,580144000.0
2021-06-23,62.0,25.0,0.12522,19.01817512512207,332356000.0
2021-06-24,71.0,23.0,0.17839,19.166120529174805,320924000.0
2021-06-25,24.0,36.0,0.20188,18.991979598999023,278364000.0
2021-06-26,4.0,43.0,0.14353,,
2021-06-27,12.0,36.0,0.21268,,
2021-06-28,200.0,14.0,0.10694,19.944019317626957,495436000.0
2021-06-29,99.0,20.0,0.13605,19.985689163208008,367632000.0
2021-06-30,80.0,21.0,0.17208,19.96149063110352,326568000.0
2021-07-01,122.0,17.0,0.05602,20.17055892944336,480136000.0
2021-07-02,95.0,15.0,0.17075,20.44499397277832,342764000.0
2021-07-03,8.0,19.0,0.03591,,
2021-07-04,13.0,13.0,0.21108,,
2021-07-05,23.0,18.0,0.05173,,
2021-07-06,122.0,12.0,0.07742,20.65606117248535,446708000.0
2021-07-07,101.0,15.0,0.08883,20.329980850219727,418428000.0
2021-07-08,96.0,18.0,0.00373,19.8619441986084,503300000.0
2021-07-09,57.0,20.0,0.00985,20.00913429260254,296624000.0
2021-07-10,4.0,34.0,-0.15623,,
2021-07-11,14.0,15.0,0.2782,,
